guid,description,typology
c84c547b-c5c5-45cf-9199-736df1301124,Монета. Екатерина II. Две копейки. 1789 г.,предметы нумизматики
af6fb03f-3d31-484f-ba9d-51e7b4ef55b9,"Владельческий конволют. Собрание сочинений. / Т. 1, 2. - СПб.: 1898.",редкие книги
5ad52d30-8239-4b41-bd56-da99ab5a555b,"Медаль ВДНХ ""За успехи в народном хозяйстве СССР"".",предметы нумизматики
6ce2ecbe-80d2-45d1-8a4c-7599950a7792,Монета. Михаил Федорович. Копейка,предметы нумизматики
73a48c2d-12c3-40da-b071-f9abd5bed64b,"Временное удостоверение №12849 Охотина Р.А. о награждении его медалью ""Партизан Отечественной войны""",документы
e4539ae6-0f19-445f-8a44-677f927bdb28,Сосуд. Фрагмент.,предметы археологии
a0784bd3-a18c-4639-a3a3-24486bbcd1ef,Уличная певица,графика
0dc847a0-3a94-4233-b21e-266f05758938,"Пряслице. Гнездовский археологический комплекс, Днепровская курганная группа",предметы археологии
cd7e0498-3d51-48b3-bb04-ddf9d867a27a,"Лист из журнала. Убийство герцога Беррийского ""Horrible attentat commis a Paris sur le S.A.R.M. Le duc de Berry, le 13 fevrier 1820 a 11h du soir. (D'apres une image du temp).",графика
6749f317-4f6f-42fc-9560-d28b7417aa1e,Полотенце-утиральник,"предметы прикладного искусства, быта и этнографии"
95ba54ea-c9bc-4a0e-9418-76f3210d092e,"Германия, Магдебург (Magdeburg). Нотгельд. 2 марки. 1922 г. до 31.Х.1922 г.",предметы нумизматики
4ab6ccea-a3e4-4514-bb8e-8f149cdc8cf0,Головка от грубо исполненной протомы богини в низком калафе,предметы археологии
8af6f278-f6df-4ac8-a143-74e1266710e0,Проводной игровой контроллер для игровой приставки SONY PlayStation 2 SCPH-90008,предметы техники
9ef4ad25-4b6d-47cf-9ec0-c8ba84c2c9ee,"Лунёв В.И.  ""Яхты"" /этюд/ .",живопись
1ee17195-a148-468b-8f41-a154b1ed0059,"Падение Трои. Из серии ""Война и Мир""",графика
4de57d0f-00e6-44ec-bb92-0a7e79ed73bd,Грамота за 2 место по метанию мяча в районной летней школьной комплексной спартакиады Синюшкиной В. май 1963 г.,документы
7e8f8f1f-4e61-472f-afa5-198b1f40072f,"Брошюра. Н.В. Гоголь в области музыки. К столетию его рождения (1809-1909).- СПб.: Тип. ""Общественная Польза"", 1909.",редкие книги
a93823cc-240d-4dac-aa62-692cbc92bd2d,Рисунок к литографии,графика
00484554-c282-4fcb-a4be-1d0ceb657e97,"Негатив. Рапорт управителя Златоустовского завода от 18.10.1905 г. о забастовке златоусовских рабочих 15.10.1905 г. ЗАЧО, ф. 20, оп.10, д.14, л.65 и об.",фотографии и негативы
3d398f9b-d032-40aa-b2b2-289118fe1148,Поздравительная открытка  40 лет Победы,предметы печатной продукции
49132320-0862-46ce-8af5-b9785f9a477a,"Афиша сводная. ""Серебряное копытце""; ""Красная шапочка""; ""Аленький цветочек""; ""Муха-Цокотуха""; ""Сын пограничника""; ""Сомбреро""; ""Всадник без головы""; ""Робин Гуд""; ""Не забывай меня, солнце""; ""Итальянская трагедия""(""Овод""); ""Старые друзья""; ""Девушка и апрель""; ""Обыкновенная история""; ""Слуга двух господ"". Владивосток, Приморский краевой ТЮЗ им. Ленинского комсомола",документы
f7b05482-1df0-4b7d-9eb2-01aec95efcaa,"Гоголь Николай. Выбранные места из переписки с друзьями.- СПб.: Тип. Деп. Внеш. торговли, 1847.- [6], 287c.",редкие книги
4b8565f1-aaea-4f14-bd51-535f8b4e63bd,Кто соберет хлеб?,документы
9e3819cc-e0fe-477c-b185-240f33621f24,Письмо М.И. Ульяновой В.С. Попову-Дубовскому,документы
fb05b913-55c5-4cea-a2f8-245a3c29e7ee,"М.И. Калинин в президиуме общества ""Долой неграмотность""",документы
b2d682b3-e1e2-47d3-a95a-ddc6af50e17b,На реке Курджипс. Этюд,живопись
d04d1e7f-7d9f-4d48-bd9f-a3ee1bb1b9f5,Знак расчетный. Россия. 500 рублей. 1921 г.,предметы нумизматики
493a9dfb-27d6-46dc-b677-e66799917931,"Фото ч/б. Машеров П.М. на з-де ""Микрон"". Декабрь 1969 г.",фотографии и негативы
4cf27819-2d31-43b3-8f42-3b8dbf6ee00c,Открытка. Ленинград. Пискаревское мемориальное  кладбище.Статуя  Матери-Родины.1960 г.,предметы печатной продукции
4bba6de8-5627-4eb6-8b40-62c211a3412b,"Фотооткрытка 1. ""82 мм. осколочная мина"", 2.""120 мм. осколочная мина"" из коллекции оружия и боеприпасов.",предметы печатной продукции
4b822370-f0fa-4d64-b0c8-b7d7bd4e6e9d,"Еженедельная рекламно-информационная газета ""Курортная неделя"" № 30 (916) с 29 июля по 4 августа 2002 г.",предметы печатной продукции
0492cd50-f9b6-4c37-b194-51ef66cedecd,"""Кот манул"". Рисунок, акварель",графика
e028cef4-2713-4496-9184-640179a75ad7,"Фотография. Е. Карасева, крестьянка села Коломенского.",фотографии и негативы
1585b2c0-fba2-4f28-974c-ffdc5aead670,"Значок. Усть-Сысольск, на булавке. СССР",предметы нумизматики
f340f2ec-9caa-41db-91be-094179aeba8c,Негатив. Прокофьев С.С. (1891-1953 гг.) с женой Прокофьевой-Мендельсон М.А. у себя дома.,фотографии и негативы
16bf4ac4-8541-407a-907e-5d5d8abe0b2d,Грамота почетная Данькина И.А.,документы
dac44428-05fc-49ec-b7b1-2037eb60be2b,"Самовар ""Ваза коническая широкая"".","предметы прикладного искусства, быта и этнографии"
5b72004f-095a-4553-9805-02fffd76115a,"Фотография (копия). Нина Максимовна Селенкина, супруга хорунжего 6-го Кубанского пластунского батальона А.Г.Синчило",фотографии и негативы
fde76c8b-2f1d-49bb-8f87-af16e06edc25,"Кружка ""1917-1927""","предметы прикладного искусства, быта и этнографии"
07b38458-c141-4294-af2b-60669e3b29fc,Раит,предметы минералогической коллекции
7a2e5553-d5c3-4c06-88dd-b49a69de02bd,"Церковь Федора Стратилата на Ручью. Фёдоровский ручей, 19а. 1360-1361 гг. роспись 1370-е гг. Новгород. ц. Федора Стратилата на Ручье. Реставрационные работы в 1936 г.",фотографии и негативы
651318ba-9003-44d7-a4d6-43615a5940cc,Оляпка обыкновенная,предметы естественнонаучной коллекции
a3cae73f-cca7-44df-a09f-428079f36121,Монета номиналом 15  копеек,предметы нумизматики
8b5a0cc5-c685-4634-bb56-76222e09c836,"Брошюра. ДОКЛАДЫ АКАДЕМИИ НАУК СССР.Том ХIII (отдельный оттиск) 3. Статья:Модификация дисперсионного интерферометра для исследования нестационарных процессов, Москва, 1975 г",прочие
